Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Morocco,Silver,3225,0.4,112,134
Morocco,Bronze,3309,,,120
Morocco,Bronze,3335,,,122
Morocco,Bronze,3371,,,121
Morocco,Gold,3428,,,507
Yemen,,,,,104.1
Yemen,Gold,2377,0.298,83.44,121
Yemen,Bronze,2579,0.902,252.56,303
Yemen,Silver,3001,0.337,94.36,120
Yemen,Bronze,3193,0.634,177.52,213
Yemen,Gold,3428,,,303
Cambodia,,,,,107.02
Cambodia,Bronze,2260,,,507
Cambodia,Silver,3001,0.337,94.36,120
Cambodia,Bronze,3193,0.634,177.52,213
Cambodia,Gold,3428,,,507
Peru,,,,,122.67
Peru,Bronze,2260,,,280
Peru,Silver,2354,0.448,125.44,120
Peru,Silver,3001,0.337,94.36,120
Peru,Bronze,3109,0.419,117.32,142
Peru,Bronze,3193,0.634,177.52,213
Peru,Gold,3428,,,280
Hong Kong,,,,,122.67
Hong Kong,Bronze,2217,0.779,218.12,264
Hong Kong,Bronze,2260,,,786
Hong Kong,Bronze,2318,0.936,262.08,157
Hong Kong,Bronze,2579,2.064,577.92,694
Hong Kong,Silver,3001,0.337,94.36,120
Hong Kong,Bronze,3193,0.634,177.52,213
Hong Kong,Bronze,3328,,,349
Hong Kong,Gold,3428,,,694
Argentina,,,,,122.67
Argentina,Bronze,2263,0.99,277.2,333
Argentina,Bronze,2286,,,221
Argentina,Bronze,2567,,,373
Argentina,Bronze,2579,2.589,724.92,870
Argentina,Bronze,2738,0.9,252,302
Argentina,Bronze,2750,1.51,422.8,507
Argentina,Silver,3001,0.337,94.36,120
Argentina,Silver,3056,,,121
Argentina,Bronze,3109,0.903,252.84,306
Argentina,Bronze,3160,,,179
Argentina,Bronze,3193,0.634,177.52,213
Argentina,Bronze,3237,,,120
Argentina,Bronze,3335,,,124
New Zealand,,,,,122.67
New Zealand,Bronze,2750,55.258,15472.24,18567
New Zealand,Silver,3001,0.337,94.36,120
New Zealand,Bronze,3160,,,482
New Zealand,Bronze,3237,1.317,368.76,383
New Zealand,Gold,3428,,,18567
Sierra Leone,,,,,123.03
Sierra Leone,Bronze,2750,0.584,163.52,196
Sierra Leone,Silver,3001,0.337,94.36,120
Sierra Leone,Gold,3428,,,196
Bangladesh,,,,,131.4
Bangladesh,Silver,3001,0.337,94.36,120
Bangladesh,Bronze,3160,,,196
Bangladesh,Gold,3428,,,196
Bolivia,,,,,131.4
Bolivia,Bronze,2750,0.584,163.52,196
Bolivia,Silver,3001,0.337,94.36,120
Bolivia,Gold,3428,,,196
Senegal,,,,,131.4
Senegal,Bronze,2750,0.584,163.52,196
Senegal,Silver,3001,0.337,94.36,120
Senegal,Gold,3428,,,196
Egypt,,,,,131.4
Egypt,Bronze,2260,,,280
Egypt,Bronze,2750,0.584,163.52,196
Egypt,Silver,3001,0.337,94.36,120
Egypt,Bronze,3160,,,121
Egypt,Bronze,3193,0.634,177.52,213
Egypt,Gold,3428,,,280
Moldova,,,,,131.4
Moldova,Bronze,2260,,,896
Moldova,Bronze,2738,0.676,189.28,227
Moldova,Bronze,3237,0.532,148.96,179
Moldova,Silver,3239,0.254,71.12,121
Moldova,Bronze,3370,,,791
Moldova,Gold,3428,,,791
Ireland,,,,,145.6
Ireland,Bronze,2260,,,2476
Ireland,Bronze,2263,4.131,1156.68,1388
Ireland,Bronze,2738,4.644,1300.32,1561
Ireland,Silver,3001,0.337,94.36,120
Ireland,Bronze,3160,,,296
Ireland,Silver,3225,0.934,261.52,314
Ireland,Bronze,3329,,,1186
Ireland,Gold,3428,,,2476
Kenya,,,,,146.33
Kenya,Bronze,2260,,,280
Kenya,Silver,3001,0.337,94.36,120
Kenya,Bronze,3160,,,151
Kenya,Bronze,3193,0.634,177.52,213
Kenya,Gold,3428,,,280
Ukraine,,,,,151.06
Ukraine,Bronze,2260,,,743
Ukraine,Silver,3168,0.415,116.2,233
Ukraine,Bronze,3177,,,381
Ukraine,Bronze,3309,,,345
Ukraine,Bronze,3335,,,277
Ukraine,Bronze,3340,,,291
Ukraine,Bronze,3418,,,336
Ukraine,Gold,3428,,,743
Greece,,,,,161.98
Greece,Bronze,2260,,,1783
Greece,Bronze,2263,1.507,421.96,507
Greece,Bronze,2738,1.808,506.24,608
Greece,Bronze,2739,1.127,315.56,379
Greece,Silver,3001,0.337,94.36,120
Greece,Bronze,3109,0.447,125.16,151
Greece,Bronze,3193,0.634,177.52,213
Greece,Bronze,3237,0.263,73.64,121
Greece,Bronze,3248,,,314
Greece,Bronze,3309,5.305,1485.4,211
Greece,Bronze,3418,,,198
Greece,Gold,3428,,,1783
Latvia,,,,,186
Latvia,Bronze,2260,,,571
Latvia,Bronze,2476,,,556
Latvia,Silver,3001,,,120
Latvia,Bronze,3193,,,213
Latvia,Bronze,3237,,,540
Latvia,Bronze,3335,,,448
Latvia,Bronze,3340,,,527
