countryId,providerId,price,rank
184,3428,196,Gold
185,2579,196,Bronze
185,3001,120,Silver
185,3428,196,Gold
186,2354,120,Silver
186,2579,196,Bronze
186,3001,120,Silver
186,3428,196,Gold
187,2266,472,Gold
187,2268,470,Gold
187,2617,1515,Silver
187,3109,470,Bronze
187,3170,523,Gold
187,3193,607,Bronze
187,3237,1007,Bronze
187,3370,1515,Bronze
189,2579,196,Bronze
189,3001,120,Silver
189,3428,196,Gold
196,2260,19805,Bronze
196,3001,120,Silver
196,3428,19805,Gold
201,2750,7135,Bronze
201,3428,7135,Gold
1001,2217,491,Bronze
1001,2260,9904,Bronze
1001,2567,4744,Bronze
1001,3001,120,Silver
1001,3109,598,Bronze
1001,3160,348,Bronze
1001,3428,9904,Gold
1010,2750,196,Bronze
1010,3001,120,Silver
1333,3001,120,Silver
1333,3168,181,Silver
1333,3370,196,Bronze
1333,3428,196,Gold
